,is_not_hispanic,derived_race,is_male,action_taken,preapproval_requested,loan_type,loan_purpose,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,debt_to_income_ratio,applicant_age,log_loan_to_value_ratio,mid_debt_to_income_ratio,debt
10235,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,735000.0,95.0,2,2,281.0,30%-<36%,25-34,6.569855608330948,0.33,92.73
10236,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,715000.0,59.583,2,2,135.0,36%-<50%,55-64,5.896828859900811,0.38,51.3
10237,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,425000.0,85.0,2,2,106.0,30%-<36%,25-34,6.409390936137702,0.33,34.980000000000004
10238,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,645000.0,85.399,2,2,120.0,36%-<50%,35-44,6.416147271249666,0.38,45.6
10239,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,285000.0,97.0,2,2,82.0,36%-<50%,25-34,6.599912842187128,0.38,31.16
10240,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,655000.0,73.842,2,2,179.0,20%-<30%,55-64,6.206369723588902,0.25,44.75
10241,Not Hispanic or Latino,Asian,Female,1,Preapproval Requested,Converntional,Home Purchase,405000.0,61.538,2,2,299.0,<20%,35-44,5.94340565138025,0.15,44.85
10242,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,675000.0,90.0,2,2,196.0,20%-<30%,25-34,6.491853096329675,0.25,49.0
10243,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,715000.0,90.0,2,2,145.0,36%-<50%,35-44,6.491853096329675,0.38,55.1
10244,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,605000.0,95.0,2,2,116.0,36%-<50%,25-34,6.569855608330948,0.38,44.08
10245,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,565000.0,95.0,2,2,114.0,36%-<50%,35-44,6.569855608330948,0.38,43.32
10246,Not Hispanic or Latino,White,Female,0,No Preapproval Requested,Converntional,Home Purchase,295000.0,98.995,2,2,54.0,36%-<50%,25-34,6.62928375485366,0.38,20.52
10247,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,845000.0,80.0,2,2,220.0,30%-<36%,45-54,6.321928094887363,0.33,72.60000000000001
10248,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,275000.0,75.0,2,2,92.0,20%-<30%,25-34,6.22881869049588,0.25,23.0
10249,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,335000.0,95.0,2,2,78.0,36%-<50%,25-34,6.569855608330948,0.38,29.64
10250,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,375000.0,75.0,2,2,142.0,36%-<50%,35-44,6.22881869049588,0.38,53.96
10251,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,255000.0,80.02,2,2,115.0,<20%,25-34,6.322288723570877,0.15,17.25
10252,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,285000.0,95.0,2,2,75.0,36%-<50%,25-34,6.569855608330948,0.38,28.5
10253,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,235000.0,57.0,2,2,47.0,36%-<50%,35-44,5.832890014164741,0.38,17.86
10254,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,115000.0,35.285,2,2,64.0,30%-<36%,65-74,5.1409831048784245,0.33,21.12
10255,Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,525000.0,95.0,2,2,109.0,36%-<50%,25-34,6.569855608330948,0.38,41.42
10256,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,405000.0,95.0,2,2,167.0,30%-<36%,45-54,6.569855608330948,0.33,55.11
10257,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,185000.0,75.0,2,2,325.0,20%-<30%,45-54,6.22881869049588,0.25,81.25
10258,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,395000.0,78.02,2,2,102.0,30%-<36%,25-34,6.285772093249838,0.33,33.660000000000004
10259,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,325000.0,95.0,2,2,75.0,36%-<50%,<25,6.569855608330948,0.38,28.5
10260,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Home Purchase,595000.0,95.0,2,2,152.0,36%-<50%,35-44,6.569855608330948,0.38,57.76
10261,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,355000.0,85.0,2,2,71.0,36%-<50%,25-34,6.409390936137702,0.38,26.98
10262,Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,305000.0,85.0,2,2,74.0,36%-<50%,35-44,6.409390936137702,0.38,28.12
10263,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,FHA-insured,Home Purchase,275000.0,96.5,2,2,62.0,50%-60%,45-54,6.592457037268081,0.55,34.1
10264,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,245000.0,45.155,2,2,99.0,30%-<36%,25-34,5.496813840640377,0.33,32.67
10265,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,495000.0,80.0,2,2,78.0,36%-<50%,35-44,6.321928094887363,0.38,29.64
10266,Not Hispanic or Latino,White,Male,1,Preapproval Requested,Converntional,Home Purchase,365000.0,80.05,2,2,84.0,36%-<50%,25-34,6.322829497628894,0.38,31.92
10267,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,325000.0,72.889,2,2,70.0,36%-<50%,25-34,6.187629202404341,0.38,26.6
10268,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,405000.0,80.947,2,2,179.0,20%-<30%,35-44,6.3389057082709925,0.25,44.75
10269,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,525000.0,84.553,2,2,113.0,36%-<50%,35-44,6.401784038267032,0.38,42.94
10270,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,435000.0,67.442,2,2,100.0,36%-<50%,35-44,6.075575415083402,0.38,38.0
10271,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,375000.0,73.529,2,2,102.0,30%-<36%,45-54,6.20024145918426,0.33,33.660000000000004
10272,Not Hispanic or Latino,White,Male,1,Preapproval Requested,Converntional,Home Purchase,705000.0,80.0,2,2,193.0,20%-<30%,25-34,6.321928094887363,0.25,48.25
10273,Not Hispanic or Latino,White,Female,1,Preapproval Requested,Converntional,Home Purchase,725000.0,95.0,2,2,212.0,36%-<50%,35-44,6.569855608330948,0.38,80.56
10274,Not Hispanic or Latino,Minority Races,Female,1,No Preapproval Requested,Converntional,Home Purchase,465000.0,51.515,2,2,340.0,<20%,35-44,5.6869206684396625,0.15,51.0
10275,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,695000.0,52.343,2,2,448.0,20%-<30%,35-44,5.70992470863307,0.25,112.0
10276,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,635000.0,94.737,2,2,160.0,36%-<50%,35-44,6.565856082263182,0.38,60.8
10277,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,225000.0,67.552,2,2,44.0,36%-<50%,<25,6.077926578685069,0.38,16.72
10278,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,385000.0,97.0,2,2,121.0,30%-<36%,35-44,6.599912842187128,0.33,39.93
10279,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,435000.0,90.783,2,2,116.0,30%-<36%,25-34,6.504350259012577,0.33,38.28
10280,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,335000.0,80.1,2,2,89.0,20%-<30%,25-34,6.323730337521348,0.25,22.25
10281,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,365000.0,55.606,2,2,183.0,50%-60%,55-64,5.797168655951602,0.55,100.65
10282,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,415000.0,80.0,2,2,214.0,36%-<50%,65-74,6.321928094887363,0.38,81.32000000000001
10283,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,485000.0,69.193,2,2,128.0,30%-<36%,25-34,6.112554188008012,0.33,42.24
10284,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,375000.0,80.0,2,2,76.0,36%-<50%,25-34,6.321928094887363,0.38,28.88
10285,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,1005000.0,57.143,2,2,540.0,<20%,45-54,5.836504874450214,0.15,81.0
10286,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,355000.0,72.323,2,2,115.0,30%-<36%,35-44,6.176382617708987,0.33,37.95
10287,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,305000.0,60.0,2,2,72.0,36%-<50%,55-64,5.906890595608519,0.38,27.36
10288,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,95000.0,48.649,2,2,24.0,36%-<50%,65-74,5.604338245014646,0.38,9.120000000000001
10289,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,485000.0,77.175,2,2,251.0,30%-<36%,45-54,6.2700616727277625,0.33,82.83
10290,Not Hispanic or Latino,Minority Races,Male,1,No Preapproval Requested,Converntional,Home Purchase,725000.0,89.953,2,2,337.0,30%-<36%,35-44,6.491099492127871,0.33,111.21000000000001
10291,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,265000.0,96.258,2,2,61.0,36%-<50%,25-34,6.588834542914258,0.38,23.18
10292,Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,1555000.0,70.0,2,2,633.0,20%-<30%,55-64,6.129283016944966,0.25,158.25
10293,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,205000.0,97.0,2,2,61.0,30%-<36%,25-34,6.599912842187128,0.33,20.130000000000003
10294,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,395000.0,89.371,2,2,131.0,20%-<30%,25-34,6.481734862051164,0.25,32.75
10295,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,725000.0,77.293,2,2,132.0,36%-<50%,35-44,6.272265858033971,0.38,50.160000000000004
10296,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,625000.0,93.836,2,2,119.0,36%-<50%,35-44,6.552069610990794,0.38,45.22
10297,Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,305000.0,75.0,2,2,150.0,36%-<50%,<25,6.22881869049588,0.38,57.0
10298,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,495000.0,75.0,2,2,191.0,20%-<30%,25-34,6.22881869049588,0.25,47.75
10299,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,355000.0,54.476,2,2,139.0,36%-<50%,25-34,5.767548869602555,0.38,52.82
10300,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,555000.0,95.0,2,2,150.0,36%-<50%,35-44,6.569855608330948,0.38,57.0
10301,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,235000.0,80.0,2,2,113.0,20%-<30%,35-44,6.321928094887363,0.25,28.25
10302,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,165000.0,71.61,2,2,70.0,30%-<36%,35-44,6.162089162028208,0.33,23.1
10303,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,365000.0,85.0,2,2,117.0,30%-<36%,25-34,6.409390936137702,0.33,38.61
10304,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,315000.0,90.0,2,2,66.0,36%-<50%,25-34,6.491853096329675,0.38,25.080000000000002
10305,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,VA-guaranteed,Refinancing,705000.0,96.37,2,2,132.0,36%-<50%,35-44,6.59051219998164,0.38,50.160000000000004
10306,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,245000.0,97.0,2,2,110.0,<20%,35-44,6.599912842187128,0.15,16.5
10307,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,635000.0,68.967,2,2,178.0,20%-<30%,55-64,6.107834307144456,0.25,44.5
10308,Not Hispanic or Latino,Minority Races,Male,1,No Preapproval Requested,Converntional,Home Purchase,665000.0,85.374,2,2,217.0,30%-<36%,25-34,6.415724869859752,0.33,71.61
10309,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,725000.0,75.0,2,2,175.0,30%-<36%,35-44,6.22881869049588,0.33,57.75
10310,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,465000.0,80.0,2,2,132.0,36%-<50%,35-44,6.321928094887363,0.38,50.160000000000004
10311,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,305000.0,75.0,2,2,248.0,20%-<30%,25-34,6.22881869049588,0.25,62.0
10312,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,235000.0,99.033,2,2,63.0,30%-<36%,25-34,6.629837438294655,0.33,20.790000000000003
10313,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Home Purchase,865000.0,80.0,2,2,249.0,36%-<50%,>74,6.321928094887363,0.38,94.62
10314,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,405000.0,97.0,2,2,72.0,36%-<50%,25-34,6.599912842187128,0.38,27.36
10315,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,755000.0,79.162,2,2,261.0,<20%,25-34,6.306736156914428,0.15,39.15
10316,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,535000.0,90.0,2,2,264.0,20%-<30%,25-34,6.491853096329675,0.25,66.0
10317,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,715000.0,95.0,2,2,205.0,36%-<50%,35-44,6.569855608330948,0.38,77.9
10318,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,185000.0,37.32,2,2,65.0,30%-<36%,55-64,5.221877081077034,0.33,21.45
10319,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,645000.0,79.012,2,2,202.0,36%-<50%,45-54,6.303999875085489,0.38,76.76
10320,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,345000.0,52.273,2,2,123.0,20%-<30%,35-44,5.707994054279366,0.25,30.75
10321,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,615000.0,75.0,2,2,107.0,36%-<50%,25-34,6.22881869049588,0.38,40.660000000000004
10322,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,VA-guaranteed,Home Purchase,515000.0,100.0,2,2,100.0,30%-<36%,25-34,6.643856189774724,0.33,33.0
10323,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,575000.0,75.0,2,2,125.0,36%-<50%,35-44,6.22881869049588,0.38,47.5
10324,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,495000.0,84.483,2,2,110.0,30%-<36%,35-44,6.400589160742303,0.33,36.300000000000004
10325,Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,245000.0,85.901,2,2,69.0,36%-<50%,25-34,6.424603021206205,0.38,26.22
10326,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,525000.0,90.0,2,2,190.0,36%-<50%,25-34,6.491853096329675,0.38,72.2
10327,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Home Purchase,465000.0,80.0,2,2,229.0,<20%,25-34,6.321928094887363,0.15,34.35
10328,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,665000.0,92.763,2,2,187.0,36%-<50%,25-34,6.53547757307671,0.38,71.06
10329,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,275000.0,64.881,2,2,52.0,36%-<50%,25-34,6.019724150631248,0.38,19.76
10330,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,515000.0,80.0,2,2,284.0,36%-<50%,55-64,6.321928094887363,0.38,107.92
10331,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,725000.0,80.0,2,2,371.0,20%-<30%,45-54,6.321928094887363,0.25,92.75
10332,Not Hispanic or Latino,Minority Races,Female,1,No Preapproval Requested,Converntional,Home Purchase,705000.0,90.0,2,2,125.0,36%-<50%,35-44,6.491853096329675,0.38,47.5
10333,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,555000.0,92.133,2,2,84.0,36%-<50%,45-54,6.525646085178978,0.38,31.92
10334,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,385000.0,95.0,2,2,100.0,20%-<30%,25-34,6.569855608330948,0.25,25.0
10335,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,305000.0,90.783,2,2,151.0,<20%,25-34,6.504350259012577,0.15,22.65
10336,Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,335000.0,90.0,2,2,86.0,36%-<50%,35-44,6.491853096329675,0.38,32.68
10337,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,315000.0,93.529,2,2,88.0,30%-<36%,25-34,6.547341857419796,0.33,29.040000000000003
10338,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,695000.0,71.897,2,2,206.0,20%-<30%,45-54,6.1678596683972895,0.25,51.5
10339,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,335000.0,75.0,2,2,107.0,20%-<30%,25-34,6.22881869049588,0.25,26.75
10340,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,195000.0,75.0,2,2,53.0,30%-<36%,25-34,6.22881869049588,0.33,17.490000000000002
10341,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Home Purchase,215000.0,47.598,2,2,54.0,36%-<50%,25-34,5.5728290497083774,0.38,20.52
10342,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,265000.0,80.0,2,2,155.0,30%-<36%,35-44,6.321928094887363,0.33,51.150000000000006
10343,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,425000.0,59.514,2,2,103.0,36%-<50%,35-44,5.895157181034691,0.38,39.14
10344,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,1095000.0,64.294,2,2,379.0,36%-<50%,45-54,6.006612204538014,0.38,144.02
10345,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Home Purchase,435000.0,75.0,2,2,121.0,20%-<30%,25-34,6.22881869049588,0.25,30.25
10346,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,355000.0,75.0,2,2,74.0,36%-<50%,25-34,6.22881869049588,0.38,28.12
10347,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,285000.0,60.273,2,2,88.0,30%-<36%,25-34,5.913439969492381,0.33,29.040000000000003
10348,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,235000.0,70.06,2,2,55.0,36%-<50%,25-34,6.130519083027338,0.38,20.9
10349,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,105000.0,22.727,2,2,101.0,36%-<50%,25-34,4.5063353535804245,0.38,38.38
10350,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,435000.0,95.0,2,2,96.0,36%-<50%,25-34,6.569855608330948,0.38,36.480000000000004
10351,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,325000.0,90.0,2,2,127.0,36%-<50%,35-44,6.491853096329675,0.38,48.26
10352,Hispanic or Latino,White,Female,1,No Preapproval Requested,FHA-insured,Home Purchase,285000.0,103.231,2,2,76.0,36%-<50%,25-34,6.689732463156174,0.38,28.88
10353,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,675000.0,80.0,2,2,234.0,36%-<50%,25-34,6.321928094887363,0.38,88.92
10354,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Home Purchase,725000.0,84.48,2,2,151.0,36%-<50%,65-74,6.400537929583729,0.38,57.38
10355,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,725000.0,90.816,2,2,115.0,36%-<50%,25-34,6.504874589398464,0.38,43.7
10356,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,315000.0,75.0,2,2,135.0,36%-<50%,35-44,6.22881869049588,0.38,51.3
10357,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,485000.0,66.447,2,2,140.0,20%-<30%,35-44,6.054132159959542,0.25,35.0
10358,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,525000.0,95.0,2,2,114.0,36%-<50%,35-44,6.569855608330948,0.38,43.32
10359,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,545000.0,95.0,2,2,201.0,20%-<30%,25-34,6.569855608330948,0.25,50.25
10360,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,VA-guaranteed,Home Purchase,525000.0,100.0,2,2,94.0,36%-<50%,25-34,6.643856189774724,0.38,35.72
10361,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,515000.0,80.0,2,2,101.0,36%-<50%,25-34,6.321928094887363,0.38,38.38
10362,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,245000.0,80.05,2,2,100.0,30%-<36%,35-44,6.322829497628894,0.33,33.0
10363,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,525000.0,43.75,2,2,313.0,<20%,45-54,5.451211111832329,0.15,46.949999999999996
10364,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,305000.0,31.443,2,2,72.0,36%-<50%,25-34,4.974666967657011,0.38,27.36
10365,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,655000.0,70.27,2,2,132.0,30%-<36%,45-54,6.134836993449116,0.33,43.56
10366,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Refinancing,1045000.0,74.482,2,2,184.0,36%-<50%,35-44,6.21881990773227,0.38,69.92
10367,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Other Purpose,305000.0,43.478,2,2,65.0,36%-<50%,25-34,5.44221367240886,0.38,24.7
10368,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,675000.0,69.003,2,2,247.0,36%-<50%,45-54,6.108587181285945,0.38,93.86
10369,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,VA-guaranteed,Refinancing,375000.0,62.321,2,2,59.0,50%-60%,>74,5.961646477893269,0.55,32.45
10370,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Improvement,335000.0,55.667,2,2,60.0,36%-<50%,65-74,5.798750430619491,0.38,22.8
10371,Not Hispanic or Latino,Black or African American,Female,1,Preapproval Requested,Converntional,Home Purchase,315000.0,90.0,2,2,177.0,36%-<50%,45-54,6.491853096329675,0.38,67.26
10372,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,385000.0,84.886,2,2,151.0,20%-<30%,35-44,6.407454728806345,0.25,37.75
10373,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Home Improvement,15000.0,75.633,2,2,76.0,>60%,35-44,6.240943939764039,0.65,49.4
10374,Not Hispanic or Latino,Asian,Male,0,No Preapproval Requested,Converntional,Home Improvement,15000.0,81.603,2,2,109.0,36%-<50%,25-34,6.350550286368009,0.38,41.42
10375,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,485000.0,94.491,2,2,265.0,36%-<50%,45-54,6.562105018150119,0.38,100.7
10376,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Refinancing,415000.0,87.404,2,2,82.0,>60%,25-34,6.449627400335354,0.65,53.300000000000004
10377,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,VA-guaranteed,Home Purchase,545000.0,100.0,2,2,125.0,36%-<50%,25-34,6.643856189774724,0.38,47.5
10378,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,FHA-insured,Home Purchase,295000.0,96.5,2,2,92.0,20%-<30%,35-44,6.592457037268081,0.25,23.0
10379,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,365000.0,80.0,2,2,577.0,<20%,45-54,6.321928094887363,0.15,86.55
10380,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Home Purchase,485000.0,88.064,2,2,258.0,30%-<36%,25-34,6.460480470040011,0.33,85.14
10381,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,555000.0,59.892,2,2,130.0,36%-<50%,45-54,5.904291404560562,0.38,49.4
10382,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,VA-guaranteed,Home Purchase,685000.0,100.0,2,2,102.0,50%-60%,25-34,6.643856189774724,0.55,56.1
10383,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,415000.0,42.051,2,2,113.0,20%-<30%,65-74,5.394068203997667,0.25,28.25
10384,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Home Purchase,585000.0,56.311,2,2,147.0,20%-<30%,35-44,5.815344866133029,0.25,36.75
10385,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,395000.0,83.474,2,2,118.0,36%-<50%,25-34,6.383255000112771,0.38,44.84
10386,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,325000.0,75.0,2,2,148.0,36%-<50%,35-44,6.22881869049588,0.38,56.24
10387,Hispanic or Latino,White,Male,0,No Preapproval Requested,FHA-insured,Home Purchase,455000.0,96.5,2,2,76.0,36%-<50%,35-44,6.592457037268081,0.38,28.88
10388,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Refinancing,355000.0,69.307,2,2,100.0,30%-<36%,35-44,6.114929166662216,0.33,33.0
10389,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,FHA-insured,Refinancing,295000.0,50.239,2,2,71.0,50%-60%,>74,5.650735842767397,0.55,39.050000000000004
