,derived_ethnicity,derived_race,derived_sex,action_taken,preapproval,loan_type,loan_purpose,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,debt_to_income_ratio,applicant_age
13864,Ethnicity Not Available,Race Not Available,Male,1,2,2,32,225000.0,59.726,2,2,61.0,41,55-64
13865,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,275000.0,77.299,2,2,44.0,43,25-34
13866,Ethnicity Not Available,Race Not Available,Female,1,2,1,32,195000.0,40.737,2,2,145.0,20%-<30%,55-64
13867,Hispanic or Latino,White,Male,3,2,1,32,355000.0,57.851,2,2,62.0,42,65-74
13868,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,405000.0,74.63,2,2,76.0,30%-<36%,65-74
13869,Not Hispanic or Latino,Race Not Available,Female,1,2,1,4,85000.0,12.903,2,2,48.0,30%-<36%,65-74
13870,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,295000.0,48.333,2,2,137.0,44,55-64
13871,Not Hispanic or Latino,Black or African American,Male,1,2,2,32,295000.0,76.253,2,2,98.0,30%-<36%,35-44
13872,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,385000.0,64.407,2,2,70.0,36,65-74
13873,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,245000.0,75.0,2,2,100.0,49,35-44
13874,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,245000.0,49.0,2,2,53.0,48,65-74
13875,Not Hispanic or Latino,White,Male,3,2,2,32,85000.0,30.189,2,2,22.0,30%-<36%,55-64
13876,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,255000.0,50.0,1,2,84.0,30%-<36%,65-74
13877,Not Hispanic or Latino,Black or African American,Female,1,2,2,32,215000.0,67.742,2,2,51.0,30%-<36%,>74
13878,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,215000.0,60.0,2,2,43.0,47,55-64
13879,Not Hispanic or Latino,Black or African American,Female,1,2,2,32,265000.0,76.377,2,2,56.0,30%-<36%,65-74
13880,Not Hispanic or Latino,Race Not Available,Female,1,2,1,32,475000.0,80.0,2,2,185.0,<20%,35-44
13881,Not Hispanic or Latino,Race Not Available,Male,3,2,1,32,165000.0,70.0,2,2,96.0,<20%,55-64
13882,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,285000.0,80.0,2,2,91.0,30%-<36%,35-44
13883,Ethnicity Not Available,Race Not Available,Female,3,2,2,32,445000.0,77.058,2,2,154.0,30%-<36%,45-54
13884,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,205000.0,24.572,2,2,63.0,40,65-74
13885,Not Hispanic or Latino,Race Not Available,Male,1,2,1,1,425000.0,95.0,2,2,144.0,30%-<36%,35-44
13886,Ethnicity Not Available,Race Not Available,Female,3,2,1,32,175000.0,75.0,2,2,120.0,49,45-54
13887,Not Hispanic or Latino,Race Not Available,Male,1,2,2,1,485000.0,96.5,2,2,106.0,45,25-34
13888,Not Hispanic or Latino,Black or African American,Female,1,2,2,1,455000.0,96.5,2,2,165.0,49,45-54
13889,Ethnicity Not Available,Race Not Available,Female,3,2,2,32,85000.0,26.667,2,2,24.0,50%-60%,65-74
13890,Not Hispanic or Latino,Asian,Female,3,2,1,31,395000.0,88.636,2,2,150.0,>60%,35-44
13891,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,205000.0,80.0,2,2,70.0,30%-<36%,65-74
13892,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,465000.0,68.889,2,2,131.0,44,65-74
13893,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,165000.0,60.0,2,2,66.0,30%-<36%,45-54
13894,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,245000.0,80.0,2,2,58.0,38,55-64
13895,Ethnicity Not Available,Race Not Available,Female,1,2,1,31,345000.0,74.783,2,2,115.0,42,45-54
13896,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,155000.0,48.232,2,2,160.0,47,35-44
13897,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,385000.0,75.0,2,2,354.0,30%-<36%,65-74
13898,Not Hispanic or Latino,Race Not Available,Female,1,2,2,32,315000.0,85.0,2,2,83.0,39,55-64
13899,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,235000.0,67.429,2,2,48.0,47,65-74
13900,Not Hispanic or Latino,White,Male,3,2,1,32,725000.0,60.0,2,2,635.0,20%-<30%,45-54
13901,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,135000.0,33.877,2,2,90.0,<20%,55-64
13902,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,705000.0,58.333,2,2,149.0,36,>74
13903,Not Hispanic or Latino,Black or African American,Male,1,2,1,4,165000.0,37.209,2,2,57.0,39,>74
13904,Joint,Black or African American,Male,3,2,1,32,525000.0,70.0,2,2,289.0,30%-<36%,>74
13905,Not Hispanic or Latino,Black or African American,Female,3,2,3,32,235000.0,79.959,2,2,69.0,20%-<30%,45-54
13906,Not Hispanic or Latino,White,Male,1,2,1,32,575000.0,52.273,2,2,269.0,36,55-64
13907,Ethnicity Not Available,Race Not Available,Male,1,2,1,1,365000.0,80.0,2,2,70.0,43,25-34
13908,Ethnicity Not Available,Race Not Available,Female,1,2,2,32,275000.0,78.0,2,2,48.0,50%-60%,55-64
13909,Not Hispanic or Latino,White,Female,1,2,1,31,405000.0,62.148,2,2,220.0,20%-<30%,25-34
13910,Not Hispanic or Latino,Black or African American,Male,1,2,3,32,175000.0,53.268,2,2,66.0,20%-<30%,65-74
13911,Not Hispanic or Latino,Black or African American,Female,3,2,1,31,325000.0,74.828,2,2,129.0,48,55-64
13912,Not Hispanic or Latino,Race Not Available,Male,3,2,3,1,645000.0,80.892,2,2,45.0,>60%,55-64
13913,Not Hispanic or Latino,White,Female,1,2,1,31,335000.0,79.412,2,2,131.0,20%-<30%,35-44
13914,Not Hispanic or Latino,Black or African American,Female,1,2,1,1,365000.0,97.0,2,2,109.0,20%-<30%,25-34
13915,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,525000.0,62.0,2,2,85.0,50%-60%,65-74
13916,Not Hispanic or Latino,White,Male,1,2,1,1,385000.0,80.0,2,2,108.0,30%-<36%,25-34
13917,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,545000.0,60.0,2,2,116.0,30%-<36%,45-54
13918,Not Hispanic or Latino,Race Not Available,Male,1,2,1,32,325000.0,37.791,2,2,83.0,20%-<30%,65-74
13919,Not Hispanic or Latino,Black or African American,Female,3,2,1,31,185000.0,40.667,2,2,98.0,48,55-64
13920,Not Hispanic or Latino,Black or African American,Male,1,2,2,32,285000.0,51.181,2,2,60.0,50%-60%,55-64
13921,Not Hispanic or Latino,Black or African American,Female,3,2,2,32,515000.0,82.093,2,2,124.0,50%-60%,45-54
13922,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,85000.0,28.07,2,2,84.0,30%-<36%,65-74
13923,Not Hispanic or Latino,Black or African American,Female,1,2,2,32,125000.0,29.412,2,2,26.0,50%-60%,55-64
13924,Not Hispanic or Latino,Black or African American,Female,1,2,1,31,555000.0,73.072,2,2,183.0,20%-<30%,45-54
13925,Not Hispanic or Latino,Black or African American,Female,1,2,3,32,455000.0,59.091,2,2,113.0,50%-60%,55-64
13926,Not Hispanic or Latino,Black or African American,Male,1,2,3,32,325000.0,73.249,2,2,94.0,50%-60%,35-44
13927,Ethnicity Not Available,White,Male,1,2,1,31,585000.0,41.679,2,2,164.0,20%-<30%,45-54
13928,Not Hispanic or Latino,Asian,Male,3,2,1,4,325000.0,32.178,2,2,260.0,30%-<36%,45-54
13929,Not Hispanic or Latino,White,Female,3,2,1,32,255000.0,33.6,2,2,70.0,30%-<36%,55-64
13930,Hispanic or Latino,Race Not Available,Female,1,2,1,31,245000.0,57.321,2,2,149.0,30%-<36%,55-64
13931,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,215000.0,38.603,2,2,37.0,44,55-64
13932,Not Hispanic or Latino,Black or African American,Female,3,2,3,32,225000.0,97.778,2,2,160.0,20%-<30%,35-44
13933,Not Hispanic or Latino,White,Female,3,2,1,31,605000.0,86.331,2,2,224.0,>60%,55-64
13934,Not Hispanic or Latino,Black or African American,Male,1,2,1,31,775000.0,73.619,2,2,350.0,20%-<30%,45-54
13935,Not Hispanic or Latino,White,Male,3,2,1,32,535000.0,80.0,2,2,195.0,49,55-64
13936,Ethnicity Not Available,Race Not Available,Male,3,2,1,31,195000.0,95.0,2,2,98.0,<20%,35-44
13937,Not Hispanic or Latino,White,Male,1,2,1,31,385000.0,38.949,2,2,115.0,39,>74
13938,Not Hispanic or Latino,Black or African American,Female,1,2,1,31,345000.0,79.558,2,2,150.0,42,35-44
13939,Not Hispanic or Latino,White,Female,1,2,1,32,375000.0,40.272,2,2,246.0,20%-<30%,45-54
13940,Not Hispanic or Latino,Black or African American,Female,3,2,2,4,175000.0,35.0,2,2,58.0,30%-<36%,45-54
13941,Not Hispanic or Latino,Race Not Available,Female,3,2,2,32,435000.0,59.178,2,2,122.0,49,45-54
13942,Ethnicity Not Available,Race Not Available,Male,1,2,1,32,515000.0,74.754,2,2,102.0,44,55-64
13943,Not Hispanic or Latino,White,Female,1,2,1,32,555000.0,78.802,2,2,98.0,44,65-74
13944,Not Hispanic or Latino,White,Female,1,2,1,31,555000.0,72.229,2,2,118.0,30%-<36%,35-44
13945,Ethnicity Not Available,Race Not Available,Male,3,2,1,32,155000.0,124.303,2,2,60.0,20%-<30%,35-44
13946,Not Hispanic or Latino,Race Not Available,Male,3,2,2,32,255000.0,41.118,2,2,131.0,>60%,65-74
13947,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,155000.0,49.283,2,2,136.0,<20%,55-64
13948,Ethnicity Not Available,Race Not Available,Male,1,2,1,32,435000.0,67.442,2,2,129.0,30%-<36%,45-54
13949,Hispanic or Latino,White,Female,3,2,1,4,65000.0,13.333,2,2,53.0,20%-<30%,55-64
13950,Not Hispanic or Latino,American Indian or Alaska Native,Female,1,2,1,32,215000.0,56.3,2,2,72.0,44,45-54
13951,Hispanic or Latino,Race Not Available,Female,3,2,1,31,315000.0,74.118,2,2,61.0,40,25-34
13952,Not Hispanic or Latino,Black or African American,Male,1,2,2,32,295000.0,84.058,2,2,63.0,50%-60%,55-64
13953,Not Hispanic or Latino,Black or African American,Male,3,2,2,32,275000.0,65.76,2,2,126.0,<20%,55-64
13954,Not Hispanic or Latino,Black or African American,Female,1,2,1,31,405000.0,66.635,2,2,105.0,40,35-44
13955,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,315000.0,80.0,2,2,68.0,44,>74
13956,Ethnicity Not Available,Asian,Male,3,2,1,32,165000.0,29.091,2,2,25.0,49,55-64
13957,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,425000.0,41.602,2,2,100.0,39,65-74
13958,Not Hispanic or Latino,White,Female,1,2,1,1,615000.0,95.0,2,2,175.0,48,25-34
13959,Not Hispanic or Latino,Black or African American,Male,1,2,3,1,365000.0,98.129,2,2,82.0,49,55-64
13960,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,255000.0,75.0,2,2,157.0,44,45-54
13961,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,495000.0,65.333,2,2,173.0,20%-<30%,35-44
13962,Ethnicity Not Available,White,Female,1,2,1,1,175000.0,97.0,2,2,64.0,30%-<36%,35-44
13963,Ethnicity Not Available,Race Not Available,Female,1,2,1,31,285000.0,80.0,2,2,87.0,41,65-74
13964,Not Hispanic or Latino,Black or African American,Male,3,2,1,31,315000.0,75.0,2,2,42.0,46,35-44
13965,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,255000.0,40.323,2,2,46.0,>60%,55-64
13966,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,165000.0,30.128,2,2,38.0,43,65-74
13967,Not Hispanic or Latino,Asian,Male,1,2,1,31,225000.0,71.174,2,2,120.0,36,25-34
13968,Not Hispanic or Latino,Asian,Male,1,2,1,31,385000.0,85.876,2,2,96.0,41,35-44
13969,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,355000.0,58.333,2,2,119.0,37,55-64
13970,Not Hispanic or Latino,Black or African American,Female,1,2,3,32,455000.0,49.622,2,2,65.0,49,65-74
13971,Not Hispanic or Latino,Black or African American,Female,3,2,1,31,215000.0,52.5,2,2,150.0,43,35-44
13972,Not Hispanic or Latino,White,Female,3,2,2,32,355000.0,74.627,2,2,165.0,20%-<30%,45-54
13973,Not Hispanic or Latino,Black or African American,Male,1,2,1,31,425000.0,88.198,2,2,92.0,40,25-34
13974,Not Hispanic or Latino,White,Female,1,2,1,31,605000.0,80.0,2,2,199.0,47,55-64
13975,Not Hispanic or Latino,White,Male,1,2,1,31,675000.0,69.436,2,2,115.0,42,35-44
13976,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,275000.0,49.455,2,2,113.0,20%-<30%,55-64
13977,Not Hispanic or Latino,Black or African American,Male,3,2,1,31,485000.0,85.0,2,2,185.0,38,55-64
13978,Not Hispanic or Latino,White,Male,3,2,3,32,435000.0,87.805,2,2,111.0,20%-<30%,35-44
13979,Not Hispanic or Latino,Race Not Available,Female,1,2,2,32,305000.0,79.528,2,2,94.0,42,55-64
13980,Not Hispanic or Latino,Race Not Available,Male,3,2,2,32,345000.0,85.0,2,2,61.0,>60%,>74
13981,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,395000.0,69.298,2,2,72.0,43,65-74
13982,Ethnicity Not Available,Race Not Available,Female,1,2,1,32,245000.0,54.444,2,2,90.0,20%-<30%,65-74
13983,Ethnicity Not Available,Race Not Available,Male,1,2,2,32,385000.0,65.172,2,2,78.0,43,65-74
13984,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,215000.0,70.0,2,2,54.0,20%-<30%,55-64
13985,Ethnicity Not Available,Race Not Available,Male,1,2,1,1,695000.0,95.0,2,2,114.0,45,25-34
13986,Not Hispanic or Latino,White,Male,1,2,1,32,355000.0,36.41,2,2,57.0,45,65-74
13987,Not Hispanic or Latino,Black or African American,Male,1,2,2,4,215000.0,49.412,2,2,46.0,39,55-64
13988,Not Hispanic or Latino,Black or African American,Female,1,2,1,1,275000.0,103.474,2,2,59.0,42,25-34
13989,Not Hispanic or Latino,White,Male,3,2,1,31,605000.0,91.704,2,2,139.0,30%-<36%,35-44
13990,Not Hispanic or Latino,Race Not Available,Female,1,2,1,31,235000.0,32.055,2,2,49.0,42,35-44
13991,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,255000.0,34.047,2,2,69.0,43,45-54
13992,Not Hispanic or Latino,Asian,Female,1,2,1,1,495000.0,62.359,2,2,357.0,<20%,55-64
13993,Not Hispanic or Latino,Race Not Available,Male,3,2,2,32,455000.0,67.123,2,2,122.0,>60%,45-54
13994,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,455000.0,72.698,2,2,104.0,44,55-64
13995,Not Hispanic or Latino,Black or African American,Female,1,2,2,32,275000.0,85.0,2,2,91.0,40,45-54
13996,Not Hispanic or Latino,White,Male,3,2,1,32,325000.0,26.875,2,2,150.0,43,65-74
13997,Not Hispanic or Latino,White,Male,1,2,1,31,465000.0,73.76,2,2,110.0,30%-<36%,45-54
13998,Not Hispanic or Latino,Black or African American,Male,3,2,1,31,705000.0,74.211,2,2,105.0,44,45-54
13999,Ethnicity Not Available,Race Not Available,Female,3,2,1,31,635000.0,78.198,2,2,122.0,42,55-64
14000,Not Hispanic or Latino,White,Male,1,2,1,31,305000.0,63.158,2,2,72.0,30%-<36%,25-34
14001,Not Hispanic or Latino,Black or African American,Male,3,2,2,32,485000.0,75.0,2,2,77.0,46,65-74
14002,Not Hispanic or Latino,Asian,Female,1,2,1,1,545000.0,90.0,2,2,144.0,42,65-74
14003,Not Hispanic or Latino,Black or African American,Female,1,2,1,31,375000.0,68.885,2,2,81.0,30%-<36%,55-64
14004,Ethnicity Not Available,Race Not Available,Male,3,2,1,31,255000.0,104.24,2,2,63.0,42,25-34
14005,Not Hispanic or Latino,Black or African American,Male,1,2,1,31,265000.0,73.056,2,2,77.0,20%-<30%,65-74
14006,Not Hispanic or Latino,Black or African American,Male,1,2,1,31,505000.0,87.414,2,2,92.0,49,25-34
14007,Not Hispanic or Latino,White,Male,1,2,1,31,345000.0,69.522,2,2,136.0,20%-<30%,35-44
14008,Not Hispanic or Latino,Asian,Female,1,2,1,1,315000.0,75.0,2,2,49.0,45,<25
14009,Not Hispanic or Latino,White,Male,1,2,1,31,325000.0,82.0,2,2,75.0,45,25-34
14010,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,345000.0,60.0,2,2,145.0,20%-<30%,55-64
14011,Hispanic or Latino,White,Female,1,2,2,1,275000.0,96.5,2,2,87.0,50%-60%,25-34
14012,Not Hispanic or Latino,White,Male,1,2,1,32,475000.0,63.733,2,2,97.0,47,55-64
14013,Ethnicity Not Available,Black or African American,Female,1,2,2,4,135000.0,24.883,2,2,58.0,20%-<30%,45-54
14014,Ethnicity Not Available,Race Not Available,Female,1,2,1,32,305000.0,70.805,2,2,170.0,20%-<30%,35-44
14015,Not Hispanic or Latino,Asian,Female,1,2,1,31,395000.0,55.957,2,2,225.0,37,45-54
14016,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,205000.0,75.0,2,2,87.0,37,35-44
14017,Not Hispanic or Latino,Black or African American,Male,3,2,1,1,365000.0,96.197,2,2,89.0,44,25-34
14018,Not Hispanic or Latino,Race Not Available,Male,3,2,2,32,355000.0,80.0,2,2,119.0,20%-<30%,35-44
14019,Hispanic or Latino,Race Not Available,Male,1,2,1,31,545000.0,92.373,2,2,175.0,39,25-34
14020,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,565000.0,65.431,2,2,102.0,42,65-74
14021,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,2,1,31,445000.0,86.132,2,2,132.0,30%-<36%,45-54
14022,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,485000.0,75.0,2,2,117.0,42,25-34
14023,Not Hispanic or Latino,Black or African American,Female,1,2,2,32,365000.0,78.261,2,2,112.0,36,35-44
14024,Not Hispanic or Latino,Asian,Male,1,2,1,32,395000.0,73.585,2,2,140.0,30%-<36%,35-44
14025,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,415000.0,60.457,2,2,75.0,43,65-74
14026,Ethnicity Not Available,Black or African American,Male,3,2,2,31,465000.0,80.0,2,2,105.0,30%-<36%,55-64
14027,Not Hispanic or Latino,Black or African American,Male,3,2,3,32,425000.0,80.0,2,2,117.0,>60%,55-64
14028,Ethnicity Not Available,Race Not Available,Male,1,2,1,32,465000.0,47.801,2,2,173.0,40,45-54
14029,Not Hispanic or Latino,Black or African American,Female,3,2,1,31,135000.0,15.169,2,2,138.0,20%-<30%,55-64
14030,Hispanic or Latino,Race Not Available,Male,3,2,1,32,505000.0,33.333,2,2,47.0,>60%,55-64
14031,Not Hispanic or Latino,Black or African American,Female,3,2,1,31,395000.0,95.0,2,2,94.0,50%-60%,45-54
14032,Not Hispanic or Latino,White,Female,1,2,1,31,615000.0,71.076,2,2,72.0,38,35-44
14033,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,325000.0,80.0,2,2,125.0,20%-<30%,45-54
14034,Not Hispanic or Latino,White,Male,1,2,1,1,295000.0,75.0,2,2,163.0,43,35-44
14035,Not Hispanic or Latino,White,Male,1,2,3,32,495000.0,84.995,2,2,170.0,<20%,35-44
14036,Not Hispanic or Latino,White,Male,1,2,3,1,465000.0,100.0,2,2,119.0,20%-<30%,35-44
14037,Not Hispanic or Latino,Race Not Available,Male,1,2,1,32,335000.0,69.358,2,2,95.0,20%-<30%,65-74
14038,Not Hispanic or Latino,White,Female,1,2,1,31,275000.0,85.692,2,2,50.0,30%-<36%,35-44
14039,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,145000.0,22.734,2,2,39.0,44,>74
14040,Not Hispanic or Latino,Black or African American,Female,1,2,1,31,365000.0,69.714,2,2,110.0,41,45-54
14041,Not Hispanic or Latino,White,Male,1,2,1,1,715000.0,70.0,2,2,142.0,30%-<36%,25-34
14042,Not Hispanic or Latino,Black or African American,Female,1,2,1,1,525000.0,90.0,2,2,165.0,30%-<36%,35-44
14043,Not Hispanic or Latino,White,Female,1,2,1,1,455000.0,96.767,2,2,71.0,42,25-34
14044,Ethnicity Not Available,Race Not Available,Male,1,2,3,32,895000.0,89.871,2,2,166.0,50%-60%,55-64
14045,Hispanic or Latino,White,Female,3,2,1,31,405000.0,84.167,2,2,80.0,30%-<36%,25-34
14046,Not Hispanic or Latino,White,Male,1,2,1,1,725000.0,95.0,2,2,255.0,30%-<36%,35-44
14047,Ethnicity Not Available,Race Not Available,Male,3,2,1,32,375000.0,60.0,2,2,144.0,20%-<30%,55-64
14048,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,225000.0,68.308,2,2,54.0,42,45-54
14049,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,205000.0,57.143,2,2,94.0,20%-<30%,>74
14050,Joint,White,Male,1,2,1,32,675000.0,80.0,2,2,290.0,20%-<30%,45-54
14051,Not Hispanic or Latino,Race Not Available,Male,1,2,1,32,255000.0,60.0,2,2,134.0,20%-<30%,35-44
14052,Not Hispanic or Latino,Black or African American,Male,1,2,1,31,385000.0,47.969,2,2,311.0,36,45-54
14053,Ethnicity Not Available,Race Not Available,Female,1,2,1,31,555000.0,62.841,2,2,172.0,38,35-44
14054,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,285000.0,52.778,2,2,59.0,42,45-54
14055,Ethnicity Not Available,Race Not Available,Female,3,2,1,32,235000.0,65.278,2,2,35.0,44,>74
14056,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,445000.0,65.436,2,2,124.0,38,45-54
14057,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,415000.0,75.0,2,2,134.0,36,35-44
14058,Not Hispanic or Latino,Black or African American,Female,1,2,1,31,405000.0,73.636,2,2,115.0,20%-<30%,65-74
14059,Not Hispanic or Latino,White,Male,1,2,1,31,375000.0,53.6,2,2,84.0,38,35-44
14060,Not Hispanic or Latino,Race Not Available,Male,3,2,1,1,355000.0,70.0,2,2,115.0,40,45-54
14061,Not Hispanic or Latino,2 or more minority races,Male,1,2,1,31,335000.0,69.792,2,2,96.0,43,35-44
14062,Not Hispanic or Latino,White,Female,1,2,1,32,495000.0,60.0,2,2,68.0,44,65-74
14063,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,275000.0,74.73,2,2,116.0,<20%,35-44
14064,Not Hispanic or Latino,Black or African American,Female,1,2,1,1,375000.0,100.013,2,2,90.0,42,25-34
14065,Not Hispanic or Latino,White,Male,1,2,1,1,725000.0,94.515,2,2,180.0,41,25-34
14066,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,155000.0,34.884,2,2,39.0,41,65-74
14067,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,365000.0,80.0,2,2,59.0,48,55-64
14068,Not Hispanic or Latino,White,Female,1,2,1,1,955000.0,75.0,2,2,187.0,37,35-44
14069,Not Hispanic or Latino,White,Male,1,2,1,31,305000.0,54.8,2,2,160.0,20%-<30%,25-34
14070,Not Hispanic or Latino,Asian,Female,1,2,1,1,445000.0,80.0,2,2,255.0,20%-<30%,25-34
14071,Not Hispanic or Latino,White,Male,1,2,1,1,755000.0,60.0,2,2,195.0,30%-<36%,25-34
14072,Not Hispanic or Latino,White,Male,1,2,1,32,3545000.0,60.0,1,2,20000.0,<20%,>74
14073,Ethnicity Not Available,Asian,Male,1,2,1,4,5005000.0,64.52,1,2,,30%-<36%,45-54
14074,Not Hispanic or Latino,White,Male,1,2,1,2,55000.0,64.0,1,2,195.0,30%-<36%,25-34
14075,Not Hispanic or Latino,Asian,Female,3,2,1,1,385000.0,80.0,2,2,,50%-60%,25-34
14076,Not Hispanic or Latino,Asian,Female,3,2,1,1,285000.0,95.0,2,2,70.0,50%-60%,35-44
14077,Not Hispanic or Latino,Race Not Available,Male,1,2,1,1,455000.0,70.0,2,2,510.0,46,45-54
14078,Not Hispanic or Latino,White,Male,1,2,1,1,1275000.0,74.999,2,2,360.0,30%-<36%,55-64
14079,Hispanic or Latino,Black or African American,Female,1,2,1,1,305000.0,97.0,2,2,81.0,30%-<36%,25-34
14080,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,175000.0,64.873,2,2,43.0,37,45-54
14081,Not Hispanic or Latino,Black or African American,Male,3,2,1,2,185000.0,80.351,1,2,183.0,50%-60%,45-54
14082,Not Hispanic or Latino,Race Not Available,Male,1,2,1,1,1065000.0,75.0,2,2,464.0,48,45-54
14083,Not Hispanic or Latino,White,Male,1,2,1,4,505000.0,75.186,2,2,312.0,30%-<36%,55-64
14084,Not Hispanic or Latino,White,Female,1,2,1,1,425000.0,50.0,2,2,117.0,30%-<36%,55-64
14085,Not Hispanic or Latino,White,Female,1,2,1,1,465000.0,80.0,2,2,136.0,30%-<36%,>74
14086,Not Hispanic or Latino,Asian,Female,1,2,1,1,905000.0,70.0,2,2,305.0,30%-<36%,45-54
14087,Not Hispanic or Latino,White,Male,1,2,1,31,1545000.0,80.0,2,2,425.0,30%-<36%,45-54
14088,Not Hispanic or Latino,White,Male,1,2,1,1,975000.0,80.0,2,2,183.0,40,45-54
14089,Not Hispanic or Latino,Race Not Available,Female,1,2,1,1,375000.0,60.0,2,2,101.0,38,35-44
14090,Not Hispanic or Latino,Asian,Male,1,2,1,1,1045000.0,70.0,2,2,314.0,30%-<36%,45-54
14091,Not Hispanic or Latino,White,Male,1,2,1,31,635000.0,79.191,2,2,136.0,30%-<36%,45-54
14092,Not Hispanic or Latino,White,Female,3,2,1,32,505000.0,73.401,2,2,324.0,50%-60%,45-54
14093,Not Hispanic or Latino,White,Male,1,2,1,31,335000.0,21.936,2,2,199.0,30%-<36%,65-74
14094,Not Hispanic or Latino,White,Female,3,2,1,4,255000.0,89.981,2,2,115.0,43,45-54
14095,Not Hispanic or Latino,White,Male,1,2,1,32,345000.0,35.423,2,2,154.0,42,55-64
14096,Not Hispanic or Latino,White,Male,1,2,1,2,105000.0,80.698,2,2,154.0,44,55-64
14097,Not Hispanic or Latino,White,Female,1,2,1,32,885000.0,75.0,2,2,210.0,20%-<30%,55-64
14098,Ethnicity Not Available,Race Not Available,Male,1,2,1,31,455000.0,63.83,2,2,238.0,<20%,55-64
14099,Not Hispanic or Latino,White,Female,1,2,1,1,255000.0,62.5,2,2,100.0,20%-<30%,45-54
14100,Not Hispanic or Latino,White,Male,1,2,1,31,1705000.0,59.649,2,2,1800.0,<20%,35-44
14101,Not Hispanic or Latino,White,Male,1,2,1,1,585000.0,74.522,2,2,118.0,36,55-64
14102,Not Hispanic or Latino,White,Male,1,2,1,32,235000.0,75.0,2,2,196.0,<20%,25-34
14103,Not Hispanic or Latino,White,Male,1,2,1,1,1025000.0,80.0,2,2,,30%-<36%,35-44
14104,Not Hispanic or Latino,Black or African American,Female,1,2,2,32,265000.0,85.0,2,2,88.0,50%-60%,45-54
14105,Hispanic or Latino,White,Female,1,2,2,32,575000.0,85.0,2,2,129.0,50%-60%,45-54
14106,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,245000.0,75.0,2,2,141.0,45,45-54
14107,Ethnicity Not Available,Race Not Available,Male,1,2,1,32,335000.0,67.0,2,2,60.0,20%-<30%,35-44
14108,Not Hispanic or Latino,Black or African American,Female,3,2,2,32,345000.0,72.0,2,2,84.0,50%-60%,35-44
14109,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,215000.0,43.0,2,2,64.0,40,>74
14110,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,375000.0,58.0,2,2,117.0,46,65-74
14111,Not Hispanic or Latino,Black or African American,Male,3,2,2,32,215000.0,75.0,2,2,53.0,36,65-74
